Line_No.,Grazer_Spp.,Start_Date,Start_Time,End_Date,End_Time,Replicate_No.,Treatment,Algae,Algae_Wi,Algae_Wf,Algae_CF,Algae_Wd,Grazer_Biomass,Water_Temp,Air_Temp,Flow_Rate,notes
1,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC1,control,Real,2.661,2.332,0.8764,NA,NA,23,24,0.0307,measuring device to the thousanths value
2,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE1,exp,Real,2.301,2.332,NA,-0.3155,NA,23,24,0.0307,
3,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC1,control,Agar,13.156,13.128,0.9978,NA,NA,23,24,0.0307,
4,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE1,exp,Agar,11.059,7.882,NA,3.1529,18.212,23,24,0.0307,
5,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC2,control,Real,2.684,2.308,0.8599,NA,NA,23,24,0.0307,
6,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE2,exp,Real,1.727,1.362,NA,0.1234,NA,23,24,0.0307,
7,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC2,control,Agar,13.948,14.043,1.0068,NA,NA,23,24,0.0307,
8,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE2,exp,Agar,11.991,9.721,NA,2.352,16.214,23,24,0.0307,
9,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRC3,control,Real,3.173,2.729,0.8601,NA,NA,23,24,0.0307,
10,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloRE3,exp,Real,1.783,1.720,NA,-0.1868,NA,23,24,0.0307,
11,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAC3,control,Agar,13.94,13.766,0.9875,NA,NA,23,24,0.0307,
12,Chlorostoma,7/11/19,13:23,7/13/19,19:00,ChloAE3,exp,Agar,10.869,8.318,NA,2.4147,18.38,23,24,0.0307,
13,Chlorostoma,7/11/19,13:23,7/16/19,15:00,ChloRC4,control,Real,2.232,1.909,0.8555,NA,NA,23,24,0.0307,
