date,trial_no.,trt,rep_no.,grazer_spp.,algae_spp.,wi,wf,Cf/Ci,correction_factor,Wd
5/10/21,1,Experimental,STE1,Tegula,Sargassum,15.489,16.121,NA,0.998,-0.657
5/10/21,1,Experimental,STE2,Tegula,Sargassum,14.528,16.389,NA,0.796,-4.822
5/10/21,1,Experimental,STE3,Tegula,Sargassum,14.14,11.28,NA,0.853,0.78
5/10/21,1,Experimental,STE4,Tegula,Sargassum,15.9,13.491,NA,0.923,1.182
5/10/21,1,Experimental,STE5,Tegula,Sargassum,11.906,8.585,NA,1.219,5.93
5/10/21,1,Experimental,STE6,Tegula,Sargassum,12.99,11.6,NA,1.28,5.03
5/10/21,1,Experimental,STE7,Tegula,Sargassum,11.696,9.722,NA,1.033,2.361
5/10/21,1,Experimental,STE8,Tegula,Sargassum,13.367,12.816,NA,0.845,-1.517
5/10/21,1,Experimental,STE9,Tegula,Sargassum,12.589,13.5,NA,1.032,-0.505
5/10/21,1,Experimental,STE10,Tegula,Sargassum,13.922,9.896,NA,0.89,2.489
5/10/21,1,Experimental,STE11,Tegula,Sargassum,13.009,9.122,NA,1.154,5.885
5/10/21,1,Experimental,STE12,Tegula,Sargassum,13.234,9.271,NA,0.965,3.498
5/10/21,1,Experimental,STE13,Tegula,Sargassum,15.21,13.701,NA,0.998,1.477
5/10/21,1,Experimental,STE14,Tegula,Sargassum,15.821,12.128,NA,1.062,4.668
5/10/21,1,Experimental,STE15,Tegula,Sargassum,14.516,9.608,NA,1.056,5.721
5/10/21,1,Experimental,SPE1,Pagurus,Sargassum,10.882,3.222,NA,0.998,7.643
5/10/21,1,Experimental,SPE2,Pagurus,Sargassum,13.246,11.186,NA,0.796,-0.64
5/10/21,1,Experimental,SPE3,Pagurus,Sargassum,12.324,8.576,NA,0.853,1.935
5/10/21,1,Experimental,SPE4,Pagurus,Sargassum,14.618,9.341,NA,0.923,4.149
5/10/21,1,Experimental,SPE5,Pagurus,Sargassum,9.68,5.4113,NA,1.219,6.39
5/10/21,1,Experimental,SPE6,Pagurus,Sargassum,11.906,11.053,NA,1.28,4.189
5/10/21,1,Experimental,SPE7,Pagurus,Sargassum,16.937,9.417,NA,1.033,8.081
5/10/21,1,Experimental,SPE8,Pagurus,Sargassum,15.069,11.987,NA,0.845,0.751
5/10/21,1,Experimental,SPE9,Pagurus,Sargassum,16.326,12.934,NA,1.032,3.919
5/10/21,1,Experimental,SPE10,Pagurus,Sargassum,12.609,12.797,NA,0.89,-1.58
5/10/21,1,Experimental,SPE11,Pagurus,Sargassum,11.339,2.841,NA,1.154,10.239
5/10/21,1,Experimental,SPE12,Pagurus,Sargassum,15.339,9.221,NA,0.965,5.58
5/10/21,1,Experimental,SPE13,Pagurus,Sargassum,12.737,8.227,NA,0.998,4.483
5/10/21,1,Experimental,SPE14,Pagurus,Sargassum,15.649,12.487,NA,1.062,4.127
5/10/21,1,Experimental,SPE15,Pagurus,Sargassum,14.784,11.112,NA,1.056,4.5
5/10/21,1,Control,SC1,Control,Sargassum,16.323,16.297,0.998,NA,NA
5/10/21,1,Control,SC2,Control,Sargassum,9.184,7.312,0.796,NA,NA
5/10/21,1,Control,SC3,Control,Sargassum,10.925,9.318,0.853,NA,NA
5/10/21,1,Control,SC4,Control,Sargassum,10.546,9.732,0.923,NA,NA
5/10/21,1,Control,SC5,Control,Sargassum,7.654,9.331,1.219,NA,NA
5/10/21,1,Control,SC6,Control,Sargassum,7.109,9.101,1.28,NA,NA
5/10/21,1,Control,SC7,Control,Sargassum,9.3,9.608,1.033,NA,NA
5/10/21,1,Control,SC8,Control,Sargassum,11.815,9.987,0.845,NA,NA
5/10/21,1,Control,SC9,Control,Sargassum,12.589,12.995,1.032,NA,NA
5/10/21,1,Control,SC10,Control,Sargassum,14.078,12.524,0.89,NA,NA
5/10/21,1,Control,SC11,Control,Sargassum,7.924,9.141,1.154,NA,NA
5/10/21,1,Control,SC12,Control,Sargassum,10.398,10.033,0.965,NA,NA
5/10/21,1,Control,SC13,Control,Sargassum,15.68,15.647,0.998,NA,NA
5/10/21,1,Control,SC14,Control,Sargassum,9.895,10.505,1.062,NA,NA
5/10/21,1,Control,SC15,Control,Sargassum,10.055,10.618,1.056,NA,NA
5/11/21,1,Experimental,SHE1,Haliotis,Sargassum,13.58,4.507,NA,1.207,11.882
5/11/21,1,Experimental,SHE2,Haliotis,Sargassum,12.383,12.44,NA,1.17,2.047
5/11/21,1,Experimental,SHE3,Haliotis,Sargassum,9,4.645,NA,1.062,4.913
5/11/21,1,Experimental,SHE4,Haliotis,Sargassum,10.124,2.392,NA,1.072,8.463
5/11/21,1,Experimental,SHE5,Haliotis,Sargassum,14.75,6.788,NA,0.899,6.479
5/11/21,1,Experimental,SHE6,Haliotis,Sargassum,13.747,10.507,NA,1.092,4.51
5/11/21,1,Experimental,SHE7,Haliotis,Sargassum,10.977,5.203,NA,0.954,5.274
5/11/21,1,Experimental,SHE8,Haliotis,Sargassum,16.225,9.526,NA,1.031,7.203
5/11/21,1,Experimental,SHE9,Haliotis,Sargassum,9.52,6.455,NA,0.872,1.845
5/11/21,1,Experimental,SHE10,Haliotis,Sargassum,10.401,7.193,NA,1.014,3.359
5/11/21,1,Experimental,SHE11,Haliotis,Sargassum,15.188,5.57,NA,0.958,8.984
5/11/21,1,Experimental,SHE12,Haliotis,Sargassum,8.881,3.955,NA,1.056,5.421
5/11/21,1,Experimental,SHE13,Haliotis,Sargassum,13.58,6.921,NA,0.904,5.354
5/11/21,1,Experimental,SHE14,Haliotis,Sargassum,11.66,7.738,NA,0.687,0.278
5/11/21,1,Experimental,SHE15,Haliotis,Sargassum,10.371,6.31,NA,1.028,4.349
5/11/21,1,Control,SHC1,Control H,Sargassum,10.204,12.315,1.207,NA,NA
5/11/21,1,Control,SHC2,Control H,Sargassum,9.034,10.569,1.17,NA,NA
5/11/21,1,Control,SHC3,Control H,Sargassum,6.934,7.364,1.062,NA,NA
5/11/21,1,Control,SHC4,Control H,Sargassum,10.035,10.76,1.072,NA,NA
5/11/21,1,Control,SHC5,Control H,Sargassum,12.302,11.065,0.899,NA,NA
5/11/21,1,Control,SHC6,Control H,Sargassum,10.458,11.424,1.092,NA,NA
5/11/21,1,Control,SHC7,Control H,Sargassum,9.47,9.039,0.954,NA,NA
5/11/21,1,Control,SHC8,Control H,Sargassum,10.582,10.911,1.031,NA,NA
5/11/21,1,Control,SHC9,Control H,Sargassum,11.666,10.171,0.872,NA,NA
5/11/21,1,Control,SHC10,Control H,Sargassum,13.047,13.236,1.014,NA,NA
