line_no.,grazer_spp.,start_date,start_time,end_date,end_time,rep_no.,trt,algae_spp.,algae_Wi,algae_Wf,algae_Cf,algae_avg_Cf,algae_Wd,grazer_biomass,water_temp,air_temp,flow_rate
1,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE1,exp,adult sargassum,10.841,9.9748,NA,0.997373483,0.837725925,0.837725925,14,23,0.03071253
2,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE1,exp,juv sargassum,10.9181,8.6853,NA,1.004425525,2.281118327,2.281118327,14,23,0.03071253
3,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE2,exp,adult sargassum,12.4649,9.4,NA,0.997373483,3.032160723,3.032160723,14,23,0.03071253
4,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE2,exp,juv sargassum,10.6219,9.3931,NA,1.004425525,1.275807487,1.275807487,14,23,0.03071253
5,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE3,exp,adult sargassum,10.5113,8.4885,NA,0.997373483,1.995191888,1.995191888,14,23,0.03071253
6,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE3,exp,juv sargassum,11.2694,8.4195,NA,1.004425525,2.899773015,2.899773015,14,23,0.03071253
7,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE4,exp,adult sargassum,10.775,8.2148,NA,0.997373483,2.531899275,2.531899275,14,23,0.03071253
8,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE4,exp,juv sargassum,9.2923,8.4185,NA,1.004425525,0.914923309,0.914923309,14,23,0.03071253
9,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE5,exp,adult sargassum,11.502,10.5105,NA,0.997373483,0.961289797,0.961289797,14,23,0.03071253
10,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE5,exp,juv sargassum,10.1395,8.3401,NA,1.004425525,1.844272614,1.844272614,14,23,0.03071253
11,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE6,exp,adult sargassum,11.9968,8.1583,NA,0.997373483,3.806990196,3.806990196,14,23,0.03071253
12,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE6,exp,juv sargassum,11.423,8.9877,NA,1.004425525,2.485852775,2.485852775,14,23,0.03071253
13,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE7,exp,adult sargassum,12.1141,11.8014,NA,0.997373483,0.280882106,0.280882106,14,23,0.03071253
14,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,JPagE7,exp,juv sargassum,10.8501,8.5967,NA,1.004425525,2.301417392,2.301417392,14,23,0.03071253
15,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,APagE8,exp,adult sargassum,10.4286,8.1489,NA,0.997373483,2.252309101,2.252309101,14,23,0.03071253
16,Pagurus samuelis,7/21/20,12:00,7/23/20,9:47,JPagE8,exp,juv sargassum,9.3956,7.8497,NA,1.004425525,1.587480465,1.587480465,14,23,0.03071253
17,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE9,exp,adult sargassum,11.3289,9.2469,NA,0.997373483,2.052244447,2.052244447,14,23,0.03071253
18,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE9,exp,juv sargassum,14.5309,11.4696,NA,1.004425525,3.125606865,3.125606865,14,23,0.03071253
19,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,APagE10,exp,adult sargassum,11.5435,8.8934,NA,0.997373483,2.619780796,2.619780796,14,23,0.03071253
20,Pagurus samuelis,7/21/20,12:00,7/22/20,17:00,JPagE10,exp,juv sargassum,11.1863,10.243,NA,1.004425525,0.992805253,0.992805253,14,23,0.03071253
21,Pagurus samuelis,7/21/20,12:00,7/23/20,16:00,APagE11,exp,adult sargassum,12.8109,9.7798,NA,0.997373483,2.997451948,2.997451948,14,23,0.03071253
